"","FLF-a","FLF-b","FLF-c","iL3a-a","iL3a-b","iL3a-c","iL3-a","iL3-b","iL3-c","pfL1-a","pfL1-b","pfL1-c","ppL1-a","ppL1-b","ppL1-c","ppL3-a","ppL3-b","ppL3-c","PF-a","PF-b","PF-c","FLM-a","FLM-b","FLM-c"
"SSTP_0000001750",-4.5113747711818,-6.8465196080603,-4.54209219881605,-2.20399618391226,-2.47914722458369,-2.50027101087121,-1.36842835546058,-1.68040543151015,-1.24424808244435,-2.51788379044198,-4.07109446044315,-3.51378420544898,-2.56768346563304,-3.64413632964702,-2.53612911235152,-2.90612315886958,-6.42150843926321,-4.28784017825449,-1.65001868098183,-4.9183662784984,-2.82394279586862,-6.08990463240377,-5.88563199461029,-6.01695355597791
"SSTP_0000001800",4.07086209850097,3.95633337970144,4.10207949189013,4.96747534326528,4.95685995603432,4.94814790889787,5.22322185947226,5.48698518543888,5.73644905689358,5.15164842955679,4.95657140828047,4.86879259850066,4.47476936220725,4.83343960112871,4.78307982832894,3.79422339182856,4.04902305413406,3.76897131946062,4.24496568593939,4.15116283223163,4.16248977997676,2.58712509177109,2.17988645172302,2.43492903858059
"SSTP_0000001900",0.349809650858686,1.04198976987026,0.807399199658479,3.83513763357719,3.63732626152186,3.68035303305225,4.44443348812587,3.739779930267,3.64807749007814,4.6740204028755,4.6339714156371,4.66588753666505,4.22041411710707,4.48049224440882,4.5227761903269,1.86524324014898,2.63925001787275,2.13982872759232,-0.576325159704143,-0.710006450926711,-0.720744739478638,1.51882860595843,1.10852486400387,0.67512020425754
"SSTP_0000002000",-1.2575596692326,-0.580461992112014,-0.709717548055405,5.04333401568564,5.16892790936481,5.16833992214077,4.13530780770983,3.83945987954192,3.72180769994135,1.75444238729543,1.62369549390664,1.56528163606923,1.50414481182881,1.51266649848537,1.84513466124902,1.06586928407026,0.834275450241762,0.973727652226878,-1.65326913815749,-0.937755793334208,-1.79642648255794,0.705210876607287,-0.209190780517347,0.396287158124131
"SSTP_0000002100",-0.507024876270573,-0.371192869827637,-0.350686486614959,3.532511608086,3.49328308710428,3.34050868214709,3.7358814101555,4.05973838372671,4.02233319109353,2.65866036053016,2.67032994268885,2.45305682196789,1.71910148636757,1.7932138179399,2.16304655679816,1.24997071852728,0.814626295579451,0.849581218184245,-1.65390236405546,-1.73685557116251,-1.59858746307372,0.679431316890758,0.269062940712424,0.291784594583574
"SSTP_0000002200",5.71614325424489,5.7546591298363,5.72595261260632,6.85852818224411,6.81925245666517,6.72407522857846,7.50259521313389,7.23131400253545,7.28461074491724,7.49528371556816,7.40273035231723,7.336138728169,7.11795846449299,7.11680165467475,7.33330578303389,6.24534425076204,6.36407922097572,6.45500073905431,5.46380396239468,5.66510592171445,5.63733876076149,5.34086263274081,5.20098908605557,5.13895337255115
"SSTP_0000002300",7.65731201081631,7.30017602320477,7.19249066256147,11.2641659309697,11.1956774947449,11.0125325939287,9.36476608594735,9.2993096179902,9.23460289614876,8.20409767992784,6.38806745671655,7.25914241479376,4.9311381470749,7.32765661154299,7.57671237399416,6.42439764256825,7.51407772017544,5.73225132226939,8.38610854693356,8.49064269045808,8.36267714258297,7.48309111635672,5.87934209866081,7.14620115812954
"SSTP_0000002400",2.23633133209589,2.75111970389851,2.46570194658288,2.0057446886302,2.13458886498529,2.03302003453211,5.13034348474421,5.04347710240927,4.66698972681579,2.53523658619594,2.35857068572295,2.20299764934692,2.61817827901181,2.00357184751971,2.23974237185783,2.91522367855781,2.96208125578817,2.98091310894033,2.16475966506416,1.78908167341835,1.46395575116989,2.04567933450482,2.02021811614122,2.24070808796328
"SSTP_0000002500",-0.0461174593402915,-0.133508715535111,-0.594260764596836,-0.251830232905066,-1.3621808971515,-1.37021575025801,2.67070328542033,-0.622763341339512,-0.589696683741038,2.07838421013055,2.00128890483698,2.30307495978713,1.99486683713268,3.01372323991868,4.0191033054254,1.55230534598629,2.15920497356345,1.46864189976867,-1.12165714723267,-2.40588705624426,-1.69090240752086,-1.04559853163592,-0.391234615764369,-0.523074597902594
"SSTP_0000002600",-6.81377679783683,-4.52620883610034,-4.05495810920677,-0.52700614755143,-1.4195973242081,-0.67494256749662,-0.15546895111318,-2.09133194700078,-1.62676090861492,1.50377715555192,0.839556694672967,1.04626068151443,0.47390682648756,1.60934139503308,2.3934656550143,0.547528938862095,-0.271912499273169,-0.760397951684806,-2.01432356610465,-3.03506959054054,-3.74031946790988,-4.50564363089757,-3.07736897347429,-4.43180879506285
"SSTP_0000002700",-1.14156981750203,-0.825609633995198,-1.24621241693624,0.424639576440635,-0.68048662125713,0.298684642876755,-1.34949782873843,-3.3698474898149,-3.55383302431691,0.441717186740183,0.908999694067732,1.04755082885223,0.418194592690147,1.65677901866283,2.13255955608037,-0.0134077540225358,0.345434194889194,0.147884100007118,-3.2378859475107,-6.49337189932949,-3.7426609468024,-4.50506731172029,-5.88563199461029,-3.69321719989403
"SSTP_0000002800",-4.01035865601486,-5.26290625511402,-5.27774384621394,1.46960709887005,1.06106022169675,1.40995849621999,-0.814425987000452,-3.85733452999708,-2.41387132268479,0.499155078308404,0.290384785307255,0.477767924554883,0.553349039626512,0.227937670318529,1.33587464240317,-0.545003404597214,-0.638748088109567,-0.616817984754962,-1.11965737013786,-2.24718204593494,-1.25880249102587,-4.50608858152284,-4.30072223925024,-4.43286866516234
"SSTP_0000002900",5.19642941738658,5.59139507903691,5.45154735990236,5.12730700560462,5.1627681277127,5.05120931204723,6.75503684237365,5.83476083036669,5.68782713454236,5.99169341713567,5.70373692247468,5.62640355169488,5.32587063097429,5.83047978250392,5.86880893173876,5.58276210273475,5.99383927988046,5.83838517049161,4.44088675524659,4.50865333884552,4.44790015182842,5.66223663503545,5.15793501483622,5.6322906102522
"SSTP_0000002950",-4.50180588663726,-4.04079954447576,-5.28081288434912,-0.43917751323424,-0.42151362684381,-0.536418572279725,-1.45445374569814,-3.01562524258541,-3.54982185950208,-2.36722489478405,-2.78784659085383,-2.82431002875365,-3.11667191043893,-3.82783857509694,-3.84656952999552,-3.14846171095915,-2.95746903066921,-3.82121774077899,-3.232657549147,-4.17551783302946,-4.95505043503506,-3.03526416580634,-3.08395871068836,-3.21632672941546
"SSTP_0000003000",3.98174988634122,3.95613119930166,3.99638605929433,3.93180968798732,3.92259745480135,4.04309571393597,3.55412778742237,4.01032942094945,4.16389250270854,3.37587476803135,3.75171146004674,3.7044479221347,3.72957556162372,3.67895757771769,3.6921681300398,3.63774803647079,3.61703549725205,3.63320357115468,3.85258562053468,4.2263383438335,4.1479007261707,3.99967717607348,3.74981214947191,3.93406408676126
