"","FLM-ERS091917","iL3-ERS092590","PF-ERS209991","PF-ERS209992","PF-ERS209993","FLF-ERS209994","FLF-ERS209995","FLF-ERS209996"
"SRAE_2000048900",4.7369115198992,4.07206734870691,5.39923462368915,5.37333664977029,5.31839952786076,4.31023694551801,3.78163407717103,4.01698579355625
"SRAE_2000049000",5.47788214542324,4.26293103274122,7.37823367145022,7.42527656014394,7.41515003066961,6.73655229016157,6.66432221251425,6.73990080034343
"SRAE_2000049100",6.67683266395619,6.29473966479935,6.88351844430436,7.0709485229672,6.88245381404474,6.33867307057103,6.40666368238778,6.29201030297814
"SRAE_2000049200",3.98800800055295,3.57377361458615,0.0842245871105955,0.0415189499430564,0.023121374804464,1.34535910673846,1.31586666936663,1.09469650985107
"SRAE_2000049300",6.66638994677328,3.37518504871847,3.31251008743154,2.99659812182923,3.08102281044041,3.23432051735578,3.2338766896071,3.28622690797208
"SRAE_2000049400",5.25768957339229,5.88961759981202,6.96563062583594,7.0179237521502,6.98256007345985,6.7660232478166,6.66761154187539,6.73086941128004
"SRAE_2000049500",7.62627868145429,1.93359408319956,14.056430517447,13.8606254852324,14.0165030949432,13.5225082861585,13.6906759514316,13.5833595052325
"SRAE_2000049600",2.19928739711824,0.104678431771728,1.76483081139625,1.95377353284345,1.75505050127526,2.3280050286956,2.70793708326384,2.64423785045716
"SRAE_2000049700",0.270487838672253,2.57078086355039,3.00678897273849,3.164980968368,3.2433845888623,1.02863302089632,0.877180476637853,0.641096732793239
"SRAE_2000049800",12.1975281739495,12.4932113350819,8.3889373329319,8.42739562712738,8.44017825969719,9.43512033486788,9.20336479771773,9.40297576201909
"SRAE_2000049900",5.13854961980615,-1.90074174083568,-0.000689676594346253,-0.211223147206604,0.292397268573665,2.21561737919337,2.47551947561741,2.75663183875833
"SRAE_2000050000",3.26841714778244,4.24270614703373,5.01660954788928,4.91799581351765,5.23501925665114,4.42249155661161,4.38851595057114,4.1623772776868
"SRAE_2000050100",2.83850484846332,2.22257772791857,2.77979943417548,3.23627283134671,2.95427716901141,3.02984208974732,3.5123244161538,3.19388270036237
"SRAE_2000050200",0.662248592127589,0.803903811301806,3.57691690334944,3.72762944281286,3.61747256874454,2.67538499017812,2.68742073257492,2.59160810385035
"SRAE_2000050300",6.63253960481773,5.35041529403312,6.06027597255765,5.83164268848273,5.952554996884,5.78889730842022,5.90743375858815,5.95433445796376
"SRAE_2000050400",2.35186442053529,4.64535856356192,4.82817979555872,4.60623659981019,4.63890470283514,4.47690951415791,4.53664207007338,4.6448062998289
"SRAE_2000050500",1.22916299496751,1.3344225442771,-0.949672189353061,-1.46371206203723,-1.34730303214735,-0.159871213736791,-0.364292058347772,-0.186509160724315
"SRAE_2000050600",-5.3804014979587,1.37347786062793,2.2274880828609,1.92091091274813,1.95159064453172,1.62272625995647,1.79954828718303,2.04931500943179
"SRAE_2000050700",7.19847302009064,-0.871663776066594,-2.0943691971281,-1.94935316539215,-4.26454245860822,-2.20555072400578,-1.82969998981371,-1.72609390230802
"SRAE_2000050800",5.26077651732309,10.3962970479704,8.84747646536142,8.77269861713061,8.88332084728184,9.27399600262172,9.32841131490119,9.21486253403228
"SRAE_2000050900",-5.3804014979587,4.90851545104224,-2.10051797215135,-1.48746472677753,-1.49732405190767,-1.03982817078081,-1.42240942186586,-0.877894529082836
"SRAE_2000051000",5.81702712022111,1.89681578824213,-1.37391559664797,-1.0421531888673,-1.53768628443832,0.98767277448442,-0.396827964811312,-0.372766789205013
"SRAE_2000051100",3.81886098350533,6.41336066631471,6.066111197328,6.24950585513411,6.11294454708853,5.98064910527295,5.85023973006951,5.85034880208679
"SRAE_2000051200",6.13492378374997,8.48723360540453,5.97860106114171,6.37959209015154,6.04699327517754,7.22662527761786,7.5813647336159,7.67946683562453
"SRAE_2000051300",6.70308443220755,1.73216196960431,-0.953503157850954,-0.608548626787099,-1.0016496187662,0.307264337916296,-0.263310096375189,-0.0664664135541099
"SRAE_2000051400",1.30383151734482,4.29584278424655,4.38668937089368,4.37023541076455,4.8098266869153,5.71262450126253,5.75376118035575,5.85522401666036
"SRAE_2000051500",1.24549213409974,4.16130424692413,7.5389822191264,7.40972091215854,7.51330330187278,6.3412346620965,6.32079119276361,6.3290035314535
"SRAE_2000051600",2.2708483461129,-3.54336853488998,4.7174158545379,5.00333749542904,4.68040331941175,3.51310132923811,3.50950828009135,3.60132830891484
"SRAE_2000051700",0.322665220926083,5.69250909572845,7.19576928351114,7.22540802591492,7.26396413576551,6.74300100950991,6.81339110222181,6.82018587230054
"SRAE_2000051800",-0.0835567149270623,-0.158691593112076,0.143234121405484,0.12602746258336,0.0256161603520596,-1.5834223769256,-1.35379442973714,-1.24080320322601
"SRAE_2000051900",2.40981080951753,3.56231290883449,7.25320953760791,7.00546591302945,7.17548819388958,6.81619739130194,6.8907777682459,6.79363070699461
"SRAE_2000052000",5.50351890422136,4.57513993594671,2.80938798379342,2.40660796898508,2.59532946251875,5.10658599622908,5.51442096264011,5.3113315116287
"SRAE_2000052100",4.1280082458341,3.20126499236909,4.40193516810766,4.50545526071694,4.46688337436721,3.30513832961863,3.32420657883919,3.39603679812253
"SRAE_2000052200",6.27774165086706,6.21352288964983,7.89386918458156,7.92458621060282,7.94020264942265,7.68898336707303,7.73780530469643,7.66473866614355
"SRAE_2000052300",3.76232722858861,6.85363312792545,7.64814763154375,7.7226782616391,7.69096236444794,7.49237244366111,7.86712333314715,7.76036434474879
"SRAE_2000052400",5.16549034506047,0.896697188503418,2.07115416040922,2.75807922670455,2.9657371273903,8.04229283672793,7.47215658687147,8.05066692115138
"SRAE_2000052500",3.07344986940796,8.19581973804024,1.49406765351727,1.82420241290381,1.92032614919924,-1.03501888859392,-3.15097410737926,-2.49655037870527
"SRAE_2000052600",2.0048557980347,3.42329310013133,5.9813814512735,5.89092440870308,6.08817741659345,5.4466822477342,5.43274042037545,5.16578026703334
"SRAE_2000052700",2.78604297471244,1.51845079421969,6.26479791205402,6.37782641063945,6.25172305600606,5.75579173602764,5.7536008795138,5.70657234633186
"SRAE_2000052800",1.903793500167,4.26666045735503,6.67067626936376,6.57610837752723,6.70605234336201,6.72781491028958,6.9257045150556,6.86112636248201
"SRAE_2000052900",0.636116808282354,2.04009079492594,7.02471392898388,7.11878023084036,7.23613428567622,7.06077501855744,6.94822638324806,6.94621982282702
