"","geneID","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"1","SRAE_0000000250",0,0,0.0295953361193452,0,0.0332206285492629,0,0,0.0520791935822687,0,0,0,0,0,0
"2","SRAE_0000008800",0,0.175350007081591,0,0,0,0,0,0,0,0,0,0,0.0280901265837139,0
"3","SRAE_0000009200",0,0.354582677667489,0,0,0,0.136286179210975,0.0285927022870474,0,0,0,0.0331443128370883,0.0910987804859481,0,0
"4","SRAE_0000009300",0,0,0,0,0.0333351604667828,0.0456014250230431,0,0,0.0298480459563274,0,0,0,0,0
"5","SRAE_0000012700",0,0,0.0585625529660961,0.105348210924801,0.0685291568630248,0,0.0567301405095489,0.0519796678448996,0.118578144730805,0,0,0.0429858250233286,0.0542394193667286,0.0566705066296342
"6","SRAE_0000016250",0.518376271114545,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SRAE_0000022000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SRAE_0000024200",0,0,0.0592189009816615,0.0502614596737844,0.0998148543452777,0.0917145854249963,0.028759835705921,0,0,0.050384764630032,0.033390256396526,0.0459822681185029,0.0288528984102123,0.156597114274101
"9","SRAE_0000025300",0.444046522053537,0,0.030433961754974,0.0519780194468725,0.0338563873393685,0.0438770813564392,0.0882719332636506,0,0,0,0.0342868672205805,0.170299785461465,0,0.0564061888581317
"10","SRAE_0000028000",0,0,0.0891137174649307,0,0.0663683968342423,0.0451504359462872,0.0289524399022275,0,0.0595872332054907,0.0504676969950845,0.0332880927574447,0,0.0289749341615168,0
"11","SRAE_0000028700",0,0,0,0.05333451122684,0,0,0,0,0.0296988027117726,0,0.0338842157900913,0,0.0267598100699371,0
"12","SRAE_0000044500",0,0,0.0897696514877488,0,0.0666092182395382,0.134554583287597,0.029242654056194,0,0,0.203100408125725,0.100113793275901,0.0449584955315213,0.0292037361509416,0
"13","SRAE_0000045300",0,0,0.0593997324216595,0.10030998492242,0.0331262247721047,0,0.0579482713258663,0,0.208564126792675,0.0504278494795797,0.0664340794657002,0.0900309435958632,0.086912407551513,0.0527311291734887
"14","SRAE_0000045400",0,0,0.0592155278903649,0.0502532362390907,0.0332639344700202,0.0458289556568526,0.0287614567963671,0.052078437940122,0.0296773704527184,0,0.0333821925900665,0.183813979050906,0.115408835899191,0.0522052807564921
"15","SRAE_0000046200",0,0,0,0,0,0,0,0,0.0296474803872635,0,0,0,0,0
"16","SRAE_0000048000",0.269928890633717,0,0,0,0,0,0.032456713461347,0,0,0,0,0.0483266635873137,0.0323593024397777,0.0602294259450819
"17","SRAE_0000048400",0,0,0.0887791699007101,0,0.0663102272369904,0,0,0.10423207061575,0.0593504724136959,0,0.099796821525487,0,0,0.0523300214245079
"18","SRAE_0000048500",0,0,0.0295688608520386,0,0,0,0.0287541331606149,0,0.0889480053852212,0,0.0332886146794838,0,0.028824998300514,0.0522189688797131
"19","SRAE_0000048800",0,0,0.0580219447556635,0,0.0333101590892387,0.0449026114945823,0.02747104951408,0,0.0872163418124973,0.0574697321322991,0.032718178766453,0,0,0
"20","SRAE_0000049000",0.329560131586683,0,0.0601450398615443,0,0.0337499172738382,0.0927287347832031,0.146204405539822,0,0.0301544298258415,0,0.067726659113971,0,0,0
"21","SRAE_0000049100",0,0.136684569766717,0,0,0,0,0.0361654250009613,0,0,0,0,0,0,0
"22","SRAE_0000049200",0,0,0,0,0.0664025746557016,0,0,0,0,0.0504733239027001,0,0,0,0
"23","SRAE_0000049400",0,0,0.0593119704867747,0.0502836795320638,0.0665375551194868,0.0456571895465094,0.0576865742384678,0,0.0297381344854993,0.0504479952745265,0.0372098010896702,0.0457808903555142,0.0578228224200679,0
"24","SRAE_0000049500",0,0,0,0,0,0,0,0,0,0.0503536102712418,0,0,0,0
"25","SRAE_0000049600",0,0,0,0,0,0,0.028441599942799,0,0,0.0504402450505749,0.0336653553425306,0,0,0
"26","SRAE_0000049700",0,0,0,0,0.033248188331749,0,0,0,0,0,0.0333660276367529,0,0,0.0522005034211282
"27","SRAE_0000050000",0,0,0.0592360090208605,0,0.0331966119099614,0,0.115262795096522,0.26077558705138,0.029699568293384,0,0.0333114120965891,0.0456167863915534,0.115503865647406,0.261771742382043
"28","SRAE_0000050100",0,0,0.0590092931167849,0.0515382672081946,0.102709061518766,0.0849581998703503,0.0284041745351793,0,0.0582336476831828,0.267434585486797,0,0,0,0
"29","SRAE_0000050200",0,0,0,0,0,0,0,0,0,0.052567233638005,0.0320035982355258,0,0,0
"30","SRAE_0000050300",0,0,0.029294130511328,0,0.0326378867448966,0,0.028776607093867,0,0.0296736823065364,0,0.065865055766178,0,0.0578900090342243,0.10808646410782
"31","SRAE_0000050400",0,0,0.177601817433895,0.0502518678097348,0.0332674676245262,0.0458706314517888,0.0287475436405908,0.0520562736111165,0.148340975205569,0.100741948628069,0.100159794650326,0.0459964587484578,0.0288428943859188,0.052172798430331
"32","SRAE_0000050900",0,0.349466477322632,0.0886028883003865,0,0.0663713503140566,0.0571939717308097,0,0.103891804452257,0.0888095284072244,0.0502562818963711,0,0.0917178339620424,0.030917057274895,0.0520688985699241
"33","SRAE_0000051000",0.0985679458805445,0.29654235653619,0,0,0,0,0,0,0,0,0,0,0,0.051430515185712
"34","SRAE_0000051200",0,0,0.0285951316498567,0.160014365113725,0.0340820113724692,0.0901329695311894,0,0,0.0588701718862669,0.0569738967226371,0.0982324799725219,0.0901062808586446,0.0262710848344127,0
