"","geneID","FLF-ERR146941","FLF-ERR146942","FLF-ERR146943","iL3a-ERR146944","iL3a-ERR146945","iL3a-ERR146946","iL3-ERR146947","iL3-ERR146948","iL3-ERR146949","pfL1-ERR146950","pfL1-ERR146951","pfL1-ERR146952","ppL1-ERR146953","ppL1-ERR146954","ppL1-ERR146955","ppL3-ERR146956","ppL3-ERR146957","ppL3-ERR146958","PF-ERR146959","PF-ERR146960","PF-ERR146961","FLM-SRR13343624","FLM-SRR13343626","FLM-SRR13343625"
"1","SSTP_0000000200",0.0554040242122497,0.054058145817622,0.0560690025243706,0,0,0,0,0,0,0,0,0.0184767980293229,0,0,0,0.0341389530453572,0,0,0,0.177184144666366,0.0425130086438057,0,0,0
"2","SSTP_0000000700",0,0,0.0532838559865334,0,0,0.0878862104783891,0,0,0,0,0,0,0,0,0,0,0.00876807974566795,0,0,0,0.0231926268085771,0,0,0
"3","SSTP_0000000900",0.0166482169944818,0.0515839175469916,0,0.255967958377671,0.147026265221838,0.163232055749526,0,0,0.0369062932474035,0,0,0.0182857223388085,0,0,0.0164365505989412,0.0707136361253776,0.0234758621351733,0.110438667507957,0,0.193654609381471,0.186198008687335,0.0467058362133905,0.0461654242805773,0
"4","SSTP_0000001000",0.0168607424265095,0.0172013342217035,0.0540541529957556,0.291324365143823,0.205186657069153,0.379636299073731,0,0.0276496451791288,0,0,0,0.0369479067089467,0.0253507258438427,0,0,0.235381387734018,0.0701656117936607,0.0870505299135012,0,0.219664184564798,0.207376958032962,0.0704061579708134,0.0233618272845118,0.0857995044219304
"5","SSTP_0000001050",0.0166409485237776,0.0174201566780394,0,0.119601327519664,0.0548870289796086,0.0545702802316572,0,0,0.0367957110138767,0,0,0,0,0,0,0.0473198627979119,0.0236495163181195,0.0893807335387429,0.0908369182202358,0.0484098192572839,0,0.117543752833305,0.0692516552027169,0.0212087969531055
"6","SSTP_0000001100",0,0.0171775904774999,0.0717335694687288,0.222351159216659,0.0926627206919976,0.163253758904113,0,0,0,0,0.0164472682220204,0,0,0.0164731543329272,0,0.0235842919096345,0.0468790410059578,0.197463637161043,0.0906550998390547,0.0972909812809082,0.139081034938194,0.070229638320993,0.0232325074775034,0.106623538198484
"7","SSTP_0000001200",0,0,0,0.0513673943716098,0.0560249647136493,0.0540337097625048,0,0,0,0,0,0,0.0252602577395917,0.0163653826927884,0,0.0469549341855175,0,0.0216393600737872,0,0.170846247307519,0.0917332084197499,0.0234588318277007,0,0.0214706460526877
"8","SSTP_0000001400",0,0,0,0.0169561357107843,0,0,0,0,0,0.0166967042644834,0,0,0,0.0166660541260513,0,0,0.0235982041840976,0,0.180484365736567,0.096404537168399,0,0,0,0
"9","SSTP_0000001425",0.0165815500882122,0.0173209554142824,0,0.0170170382122904,0.0182279118402571,0.036214061631561,0,0,0,0,0,0,0,0,0,0.0235443702592949,0.0235293314074021,0.0444451920698942,0,0.0964075324719779,0.0934574568086008,0.023381562947957,0,0
"10","SSTP_0000001450",0,0,0,0.0169335253897094,0.018148795291739,0.0180365819251832,0,0,0,0.0166910248746265,0.0326833207111556,0.0180125526476594,0,0.0166620369781862,0.0502520828980268,0,0.0235892738420568,0,0,0,0.0233184688466985,0,0,0
"11","SSTP_0000001500",0,0.0172740129225518,0.0178765052694592,0.170202680050456,0.0548497341731675,0.181165416627982,0.130989328567204,0.407503818938631,0.220338761253403,0,0.0163395132267712,0.018200772399481,0.0255927303774642,0.0165433017559298,0.016566779673322,0.0235302553329548,0.117610590606589,0.066532734738526,0,0.0241540552557262,0.0933954975900662,0,0,0
"12","SSTP_0000004600",0,0.0194684093986382,0.0541705962081467,0.0171374170280237,0.0424531878214084,0.0180083679927603,0.0442859619688269,0.055402734167039,0.073745889810234,0,0,0,0.0252580678655838,0.0163652123558133,0,0.164374746372888,0.116630045221226,0.225504665340954,0,0.0276914593053173,0.0916841062607466,0,0.0234073524944393,0.0430094285407919
"13","SSTP_0000004650",0,0,0.0178169217367549,0,0,0,0,0,0,0,0,0,0,0,0,0.023412774314311,0,0.0221637495647129,0,0,0.046442135489085,0,0,0.0209860740937592
"14","SSTP_0000004800",0,0,0,0,0.732686750085303,0,0,0,0,0,0,0,0,0,0,0,0.158818556661322,0,0,0.684402335100374,0,0,0,0
"15","SSTP_0000004900",0.0337671099373008,0.0344031907232529,0.0541020776171673,0.188509399408396,0.130729133404549,0.288748683405527,0,0,0,0,0.0165622310955996,0,0,0,0,0.211633174073619,0.0467221679955398,0.151893382091337,0.451702235468723,0.293027356443004,0.321830864199827,0.0704238510764637,0,0.0214725707817949
"16","SSTP_0000005000",0.0677443332996524,0.0172084684322773,0.0542191318466247,0.411364190627646,0.337064251123833,0.6835750634908,0,0,0.0368422546520695,0,0,0,0,0.0327007184385908,0.0160523742333872,0.140799992709649,0.0699275268377373,0.129466072815829,0.270386914902814,0.342289476519427,0.274627469127864,0.0234921596394567,0,0.0215266564083343
"17","SSTP_0000005050",0,0,0.0178802687727284,0,0,0,0,0.0273762715273138,0,0.0167552538515218,0.0163809360558913,0,0,0,0,0,0.0234672029143427,0.0220471621996175,0.181395906413516,0.0242469492161217,0.0697420134883157,0,0,0
"18","SSTP_0000005200",0.0333399835357675,0,0.0180014593072164,0.0171123781545852,0.0916127987549603,0.0364326054537701,0,0.0545128941156216,0.0368483690073306,0,0,0,0,0,0,0,0.0236607109835842,0,0.0909276920777919,0,0.0704843524607935,0,0,0
"19","SSTP_0000005225",0.0166771573267101,0.0171972818557718,0.0178934297946181,0.0341811429611658,0.166033270496164,0.181525222160218,0.109637115379193,0.0547803359203185,0.0369764142033326,0,0,0,0,0.0165241125054446,0,0.0235733608140474,0.0704712613435633,0.0220715571890057,0.0907688675707371,0.072804153827729,0.0930748777027817,0.0233820320835477,0,0
"20","SSTP_0000005250",0,0,0.0181583500665543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243850333459429,0,0,0,0
"21","SSTP_0000005275",0,0.0174159720926301,0,0.119560141745736,0.0548053925398335,0.0545290682189469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234457758230087,0.0234902320688225,0,0.0211927559606988
"22","SSTP_0000005300",0,0,0.0180783546318943,0.0170358999064465,0.0182568958459995,0.0906814889071506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234443410060763,0,0,0
"23","SSTP_0000005400",0,0,0,0.255927548867369,0.185140799439132,0.16263666004019,0,0,0,0,0,0,0,0,0.0162412518098668,0.0234997881111412,0.0233555223373436,0,0,0.0242683113770646,0.046172657267036,0.0233485450796992,0,0
"24","SSTP_0000005700",0.0673594493524408,0.189029474303572,0.107984240795449,0.0171201857264616,0.0186309425865157,0.108399125333862,0,0,0,0.016801846589771,0.01652305742223,0,0,0.0164092388969755,0.016177657580475,0.188163945872597,0.11685711477112,0.0870162205796323,0.542359584009288,0.512005758060391,0.506663811820603,0,0.0233354045874106,0.0428468509188454
"25","SSTP_0000005800",0.0506916237607565,0.085984813938904,0.0360835774537039,0,0,0.0180159775727237,0,0,0,0,0.0165720180261242,0,0,0,0,0,0.0933216826952401,0.021641329374221,0.0902176349530352,0.439571422016096,0.389933206062386,0,0,0
"26","SSTP_0000005900",0.0168219804040328,0.0686911911168413,0.0898983929146258,0,0,0,0,0.0275939523766825,0,0,0,0,0.0253293790885321,0,0.0161799669336754,0,0.0233629808754767,0,0.090362007654607,0.14616991252378,0.207273700866013,0,0,0
"27","SSTP_0000006000",0,0.0171974845458605,0.0177586093950045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233745309331872,0.0220570595011801,0,0.0718652727937639,0.023189091614755,0,0,0
